discord_uuid,discord_name,riot_id,tracker,pr,team
402279320699011082,minik4i,MiniKai#AZN,https://tracker.gg/valorant/profile/riot/MiniKai%23AZN/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,3,Frogs
371076310963060738,clawsator,CLAWS#ATOR,https://tracker.gg/valorant/profile/riot/CLAWS%23ATOR/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,5,ATOR Black
377084401672126474,pender,pender#btm,https://tracker.gg/valorant/profile/riot/pender%23btm/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,5,ATOR Black
148649685853143040,jawator,怖いサメ#ATOR,https://tracker.gg/valorant/profile/riot/%E6%80%96%E3%81%84%E3%82%B5%E3%83%A1%23ATOR/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,5,ATOR Black
439196761886556161,mention,RipWideJoy#sleep,https://tracker.gg/valorant/profile/riot/RipWideJoy%23sleep/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,0,ATOR Black
308789272893325314,enyarjaja,ikeabear#SKOG,https://tracker.gg/valorant/profile/riot/ikeabear%23SKOG/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,0,ATOR Black
452609638136020992,kusxnagi,Kusx#HIM,https://tracker.gg/valorant/profile/riot/Kusx%23HIM/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,6,Solar Reign
544688449672708138,hero.idk,ゆ あ#rei,https://tracker.gg/valorant/profile/riot/%E3%82%86%20%E3%81%82%23rei/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,2,Solar Reign
1236477485433094308,jun_vlr,KooZera#SSIP,https://tracker.gg/valorant/profile/riot/KooZera%23SSIP/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,6,Solar Reign
738415567106736199,jjcantdothisanymore,20pcMcNugget#629,https://tracker.gg/valorant/profile/riot/20pcMcNugget%23629/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2,0,Solar Reign
